Day Index,Sessions
07/07/2014,169549
07/08/2014,164787
07/09/2014,156750
07/10/2014,147207
07/11/2014,133132
07/12/2014,100187
07/13/2014,89161
07/14/2014,135379
07/15/2014,145245
07/16/2014,132255
07/17/2014,154280
07/18/2014,157891
07/19/2014,87669
07/20/2014,84861
07/21/2014,131759
07/22/2014,136273
07/23/2014,133729
07/24/2014,120696
07/25/2014,116102
07/26/2014,86169
07/27/2014,88500
07/28/2014,165223
07/29/2014,171177
07/30/2014,153619
07/31/2014,152759
08/01/2014,144086
08/02/2014,111650
08/03/2014,111512
08/04/2014,165571
08/05/2014,145107
08/06/2014,151896
08/07/2014,137311
08/08/2014,122810
08/09/2014,96348
08/10/2014,97326
08/11/2014,137904
08/12/2014,139371
8/13/14,139565
