Hour Index,Sessions
0,4486
1,2362
2,1203
3,558
4,484
5,487
6,970
7,2370
8,5804
9,12315
10,12405
11,11761
12,11578
13,10878
14,10020
15,10107
16,10723
17,10015
18,9792
19,9000
20,8604
21,8390
22,8244
23,6993
24,4566
25,2213
26,1153
27,663
28,493
29,465
30,838
31,2085
32,5240
33,10712
34,11869
35,11437
36,10912
37,10661
38,9755
39,8758
40,8863
41,10831
42,9401
43,8837
44,8961
45,9199
46,8922
47,7953
48,4945
49,2472
50,1056
51,646
52,469
53,551
54,1022
55,1980
56,4351
57,10511
58,10939
59,10314
60,9754
61,9926
62,9089
63,8091
64,8439
65,8215
66,11488
67,9434
68,8566
69,8285
70,8624
71,7583
72,5267
73,2542
74,1190
75,638
76,402
77,488
78,992
79,1785
80,4219
81,8782
82,9662
83,9416
84,9697
85,9171
86,8470
87,8639
88,9118
89,9690
90,8851
91,7921
92,7590
93,7684
94,7831
95,7162
96,4877
97,2413
98,1225
99,815
100,540
101,578
102,841
103,1678
104,3853
105,8881
106,9691
107,9621
108,8774
109,8573
110,7634
111,7815
112,7920
113,7691
114,7070
115,6425
116,6745
117,6806
118,6850
119,5816
120,4250
121,2386
122,1302
123,825
124,567
125,400
126,649
127,1374
128,2516
129,4018
130,7274
131,7740
132,6932
133,6255
134,5870
135,5422
136,5319
137,5550
138,5341
139,5387
140,4981
141,5247
142,5505
143,5077
144,4020
145,2454
146,1374
147,704
148,460
149,385
150,486
151,1010
152,1939
153,2825
154,3609
155,5714
156,5388
157,5033
158,4277
159,4408
160,4301
161,5302
162,5910
163,5712
164,6000
165,6373
166,6350
167,5127
168,4030
169,2411
170,1118
171,609
172,395
173,428
174,680
175,1440
176,3637
177,9126
178,9623
179,9619
180,9321
181,8588
182,7724
183,7490
184,7891
185,8623
186,7910
187,7261
188,7009
189,6876
190,7284
191,6286
192,4639
193,2350
194,1270
195,835
196,589
197,557
198,1002
199,1874
200,4149
201,7404
202,9761
203,10840
204,13803
205,11752
206,10370
207,9314
208,9306
209,7787
210,6845
211,6236
212,6141
213,6260
214,6564
215,5597
216,4089
217,2519
218,1304
219,687
220,494
221,470
222,721
223,1556
224,3514
225,7931
226,8816
227,8622
228,8497
229,8635
230,7415
231,7220
232,8212
233,7853
234,7968
235,8038
236,7099
237,6993
238,7017
239,6585
240,5187
241,2475
242,1188
243,708
244,509
245,818
246,1058
247,1822
248,3866
249,10194
250,10503
251,9471
252,9009
253,8684
254,8036
255,8012
256,8295
257,10412
258,10119
259,9490
260,8981
261,8663
262,8838
263,7942
264,5847
265,3010
266,1499
267,939
268,564
269,640
270,1114
271,2131
272,5057
273,11598
274,12748
275,11965
276,11026
277,10160
278,8390
279,8405
280,8734
281,9417
282,8698
283,7596
284,7334
285,7327
286,7319
287,6373
288,4641
289,2682
290,1394
291,716
292,435
293,357
294,475
295,1164
296,2321
297,3701
298,5775
299,5973
300,5807
301,5582
302,5098
303,4639
304,4496
305,4563
306,4495
307,4677
308,4484
309,4722
310,4878
311,4594
312,3845
313,2255
314,1257
315,717
316,399
317,358
318,414
319,811
320,1697
321,2622
322,3325
323,5171
324,5104
325,5087
326,4833
327,4700
328,4627
329,4883
330,4982
331,5300
332,5499
333,5855
334,5917
335,5203
336,4272
337,2213
338,1008
339,610
340,404
341,373
342,555
343,1305
344,3286
345,8426
346,9281
347,9376
348,9093
349,8748
350,7479
351,7534
352,7787
353,7827
354,7230
355,6511
356,7783
357,7286
358,7186
359,6186
360,4376
361,2282
362,1076
363,610
364,406
365,442
366,687
367,1533
368,3562
369,9382
370,10529
371,9929
372,9275
373,8907
374,8266
375,8026
376,8396
377,7848
378,7165
379,6613
380,6569
381,6815
382,7191
383,6388
384,4562
385,2205
386,1058
387,682
388,422
389,456
390,801
391,1642
392,3801
393,9072
394,10002
395,9532
396,9201
397,8590
398,7868
399,7466
400,7857
401,8735
402,7877
403,6822
404,6571
405,6533
406,6460
407,5514
408,4075
409,2057
410,1056
411,568
412,356
413,395
414,660
415,1373
416,3187
417,7147
418,8529
419,8815
420,8439
421,7686
422,7207
423,7519
424,7184
425,7297
426,7088
427,6327
428,6010
429,6170
430,6256
431,5295
432,3959
433,1975
434,1063
435,664
436,395
437,393
438,630
439,1259
440,3023
441,5752
442,6822
443,7969
444,10507
445,7758
446,7526
447,6922
448,7418
449,7077
450,6418
451,6130
452,5588
453,5756
454,5738
455,5360
456,4194
457,2529
458,1317
459,860
460,439
461,400
462,519
463,1267
464,2466
465,3540
466,5174
467,5675
468,5474
469,5278
470,5416
471,5084
472,4862
473,4505
474,4389
475,4335
476,4601
477,4753
478,4701
479,4391
480,4009
481,2210
482,1334
483,800
484,501
485,342
486,352
487,806
488,1631
489,2621
490,3339
491,5598
492,5820
493,5457
494,4985
495,4886
496,4606
497,4963
498,5247
499,5543
500,5761
501,6191
502,6292
503,5206
504,4198
505,2229
506,1162
507,582
508,392
509,398
510,567
511,1641
512,4264
513,7741
514,10572
515,11905
516,12033
517,12575
518,11149
519,10279
520,10103
521,10516
522,10508
523,9223
524,8663
525,8524
526,8810
527,7189
528,5119
529,2531
530,1229
531,724
532,483
533,525
534,936
535,1881
536,4427
537,9593
538,11004
539,11715
540,11173
541,10630
542,9780
543,9797
544,10899
545,13172
546,10071
547,9317
548,9205
549,9228
550,9324
551,8414
552,5846
553,3017
554,1660
555,992
556,623
557,570
558,932
559,1880
560,4068
561,8649
562,10178
563,10313
564,10411
565,9932
566,9296
567,8876
568,9428
569,9304
570,8414
571,8240
572,7804
573,7948
574,8079
575,7159
576,5322
577,2935
578,1699
579,957
580,641
581,626
582,876
583,2004
584,4230
585,8877
586,9773
587,9963
588,9781
589,9511
590,8164
591,8152
592,9060
593,11026
594,9653
595,8338
596,8020
597,7828
598,8036
599,7287
600,5552
601,2997
602,1704
603,949
604,590
605,617
606,952
607,1973
608,4264
609,8806
610,10402
611,10221
612,9711
613,9181
614,8289
615,7679
616,8162
617,10392
618,7940
619,7073
620,6883
621,6698
622,6850
623,6201
624,5300
625,3170
626,1809
627,1030
628,672
629,563
630,756
631,1367
632,2918
633,4401
634,8354
635,8347
636,7656
637,7331
638,6490
639,6046
640,5945
641,5633
642,5619
643,5796
644,5624
645,5849
646,5655
647,5319
648,5150
649,3081
650,1626
651,1045
652,671
653,537
654,566
655,1145
656,2165
657,3570
658,4126
659,6231
660,6332
661,6452
662,6154
663,5824
664,5689
665,6455
666,7199
667,7127
668,7478
669,7869
670,7947
671,7073
672,5518
673,3063
674,1743
675,945
676,651
677,540
678,955
679,2137
680,4893
681,10008
682,11479
683,11427
684,11108
685,9105
686,9971
687,9938
688,10162
689,9826
690,9354
691,8961
692,8668
693,8720
694,8975
695,7424
696,5154
697,2563
698,1244
699,780
700,462
701,520
702,898
703,1770
704,4662
705,9848
706,10922
707,11524
708,11339
709,9576
710,7945
711,7602
712,7966
713,7410
714,7429
715,7334
716,6680
717,7303
718,7571
719,6605
720,4381
721,2400
722,1251
723,974
724,589
725,501
726,823
727,1791
728,4097
729,10650
730,11367
731,11067
732,10565
733,9609
734,8706
735,8884
736,8947
737,9268
738,8371
739,7887
740,7733
741,7582
742,7658
743,6795
744,5076
745,2813
746,1489
747,836
748,535
749,501
750,892
751,1842
752,4123
753,8815
754,10198
755,8557
756,9085
757,8487
758,7755
759,7695
760,8068
761,8515
762,7832
763,7312
764,6851
765,6708
766,6957
767,6369
768,5180
769,2693
770,1494
771,911
772,614
773,594
774,988
775,1872
776,3636
777,8188
778,9142
779,8693
780,8408
781,8142
782,7617
783,7144
784,7408
785,7457
786,6571
787,5470
788,5178
789,5089
790,5389
791,4932
792,4308
793,2633
794,1425
795,947
796,593
797,520
798,766
799,1324
800,2429
801,3518
802,5714
803,6989
804,6706
805,6097
806,5735
807,5189
808,5182
809,5126
810,5165
811,5198
812,4989
813,5334
814,5332
815,5129
816,4629
817,3187
818,1972
819,1076
820,681
821,584
822,576
823,1018
824,1811
825,2739
826,3654
827,6465
828,7011
829,6011
830,5553
831,5077
832,5252
833,5263
834,5418
835,5496
836,5799
837,6095
838,6435
839,5524
840,4389
841,2421
842,1340
843,784
844,487
845,524
846,755
847,1596
848,3763
849,8303
850,9467
851,9473
852,9420
853,9081
854,8192
855,8233
856,8783
857,8560
858,7905
859,7403
860,6948
861,7003
862,6972
863,6102
864,4973
865,2521
866,1328
867,855
868,594
869,641
870,748
871,1561
872,4805
873,9427
874,10298
875,9531
876,10105
877,9388
878,8024
879,7240
880,7776
881,7951
882,7841
883,7795
884,6672
885,6612
886,6584
887,6101
888,4335
889,2427
890,1432
891,806
892,451
893,516
894,814
895,1635
896,3379
897,8878
898,9857
899,9615
900,9649
901,8857
902,8512
903,7772
904,8349
905,8140
906,7848
907,7348
908,7149
909,7728
910,7435
911,6633
,
